product,,sku,name,permalink,quantity,description,prototype,category,gender,tax_category,shipping_category,deleted_at,shipping_time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,image,image2,image3,meta_description,meta_keywords,delete,price,weight,height,width,depth,cost_price
Product,,699500,PI. MT18 100/100-18 NHS R TT,pi-mt18-100-100-18-nhs-r-tt,1.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,74.5,,,,,0.0
Product,,699400,PI. MT320 110/100-18 NHS,pi-mt320-110-100-18-nhs,0.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,115.0,,,,,0.0
Product,,249800,PI. MT32 110/100-18 NHS,pi-mt32-110-100-18-nhs,0.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,104.0,,,,,0.0
Product,,249900,PI. MT32 120/100-18 NHS,pi-mt32-120-100-18-nhs,0.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,108.0,,,,,0.0
Product,,967200,ME. MC 4 110/90-19 NHS R TT,me-mc-4-110-90-19-nhs-r-tt,10.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,69.5,,,,,32.56
Product,,967000,ME. MC 4 110/100-18 NHS R TT,me-mc-4-110-100-18-nhs-r-tt,10.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,72.5,,,,,25.5
Product,,966900,ME. MC 4 100/100-18 NHS R TT,me-mc-4-100-100-18-nhs-r-tt,2.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,69.5,,,,,33.88
Product,,930100,ME. MC 6 110/100-18 NHS R TT,me-mc-6-110-100-18-nhs-r-tt,1.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,72.5,,,,,35.42
Product,,967300,ME. MC 4 80/100-21 51R F TT,me-mc-4-80-100-21-51r-f-tt,10.0,,prototype,category,gender,,,2013-06-06,ship time,style,frame_width,frame_type,frame_shape,bridge_width,eye_size,arm_length,,,,,,2013-06-06,57.5,,,,,29.61
